Source	DL	LHCN/LCO	err
NGC253	2.5	0.059	0
IC1623	81.7	0.065	0
NGC660	14	0.036	-99
NGC695	133.5	0.046	0
MRK1027	123.5	0.045	0
NGC891	10.3	0.024	0
NGC1022	21.1	0.047	0
NGC1055	14.8	0.028	99
NGC1068	16.7	0.174	0
NGC1144	117.3	0.025	0
NGC1365	20.8	0.053	0
IC342	3.7	0.050	0
NGC1614	63.2	0.051	0
VIIZw31	223.4	0.078	0
5189252	170.3	0.093	0
NGC2146	15.2	0.071	0
NGC2276	35.5	0.039	0
ARP55	162.7	0.03	0
NGC2903	6.2	0.036	-99
UGC5101	160.2	0.197	0
M82	3.4	0.053	0
NGC3079	16.2	0.042	0
5662448	173.3	0.166	0
ARP148	143.3	0.085	99
NGC3556	10.6	0.02	0
NGC3627	7.6	0.017	-99
NGC3628	7.6	0.034	0
NGC3893	13.9	0.056	0
NGC4030	17.1	0.036	0
NGC4041	18	0.046	0
NGC4414	9.3	0.033	0
NGC4631	8.1	0.037	0
NGC4826	4.7	0.03	-99
NGC5005	14	0.049	0
NGC5055	7.3	0.012	-99
NGC5135	51.7	0.087	0
M83	3.7	0.043	0
MRK273	152.2	0.234	0
NGC5678	27.8	0.044	0
NGC5713	24	0.027	0
NGC5775	21.3	0.052	0
1720814	173.1	0.256	0
18293	72.1	0.047	0
NGC6701	56.8	0.041	0
NGC6921	60.3	0.16	0
NGC6946	5.5	0.053	0
NGC7130	65	0.071	0
IC5179	46.2	0.129	0
NGC7331	15	0.041	0
NGC7469	67.5	0.059	0
NGC7479	35.2	0.042	0
23365	266.1	0.176	0
MRK331	75.3	0.064	0
MRK231	170.3	0.226	0
ARP220	74.7	0.117	0
NGC6240	98.1	0.139	0
ARP193	92.7	0.238	0
ARP299	43	0.072	0
NGC7771	60.4	0.070	0
NGC828	75.4	0.022	0
NGC520	31.1	0.039	0
NGC3147	39.5	0.015	0
NGC1530	35.4	0.021	0
NGC4945	3.7	0.047	0
M51	9.6	0.026	0
